Genre
Platformer
Shooter
Fighting
Beat-em Up
Stealth
Survival
Rhythm
Survival Horror
Metroidvania
Text Adventure
Graphic Adventures
Visual Novel
Interactive Movie
Real-time 3D
Action RPG
MMO
Roguelikes
Tactical RPG
Sandbox RPG
First-person Party-based RPG
Management Sim
Life Sim
Vehicle Sim
4X
Artillery
RTS
RTT
MOBA
Tower Defense
TBS
TBT
Wargame
Racing
Team sports
Competitive
Sports-based fighting
Logic puzzles
Trivia
Idle
Party Game
Programming Game
Edutainment
FPS
